time,rad_s
84.148,47.1308
84.152,47.2427
84.156,47.2724
84.16,47.1355
84.164,46.9724
84.168,46.787
84.172,46.6754
84.176,46.5246
84.18,46.3497
84.184,45.8571
84.188,45.4187
84.192,45.0266
84.196,45.1645
84.2,45.2818
84.204,45.7109
84.208,46.0742
84.212,46.4755
84.216,46.6294
84.22,46.8614
84.224,47.0815
84.228,47.2585
84.232,47.3871
84.236,47.4116
84.24,47.3748
84.244,47.297
84.248,47.2307
84.252,47.0907
84.256,46.9714
84.26,46.7675
84.264,46.979
84.268,47.2185
84.272,47.3237
84.276,47.1328
84.28,46.9515
84.284,46.7878
84.288,46.6389
84.292,46.4935
84.296,45.9889
84.3,45.5219
84.304,45.096
84.308,45.0488
84.312,45.0178
84.316,45.0007
84.32,45.7132
84.324,46.2307
84.328,47.0364
84.332,47.4323
84.336,47.8573
84.34,47.9939
84.344,48.0931
84.348,48.1135
84.352,48.0658
84.356,47.9601
84.36,47.5915
84.364,47.1289
84.368,46.6604
84.372,46.1962
84.376,45.8842
84.38,45.5718
84.384,45.2871
84.388,45.0444
84.392,44.9398
84.396,44.9064
84.4,44.9567
84.404,45.0277
84.408,45.1996
84.412,45.4621
84.416,45.5151
84.42,45.5535
84.424,45.633
84.428,45.7251
84.432,45.8264
84.436,45.6711
84.44,45.5481
84.444,45.4525
84.448,45.3711
84.452,45.1996
84.456,45.0441
84.46,44.9302
84.464,44.8425
84.468,44.7862
84.472,44.7662
84.476,44.6934
84.48,44.6592
84.484,44.6579
84.488,44.7074
84.492,44.8122
84.496,44.9228
84.5,45.0718
84.504,45.6788
84.508,46.1883
84.512,46.5927
84.516,46.8004
84.52,47.0028
84.524,47.1153
84.528,47.1455
84.532,47.1109
84.536,47.0349
84.54,46.9145
84.544,46.7655
84.548,46.5735
84.552,46.2335
84.556,46.083
84.56,45.9176
84.564,45.7489
84.568,45.6051
84.572,45.5754
84.576,45.2436
84.58,44.9795
84.584,44.7638
84.588,44.5799
84.592,44.4325
84.596,44.3441
84.6,44.3764
84.604,44.4859
84.608,44.6686
84.612,44.9216
84.616,45.2774
84.62,45.6561
84.624,46.1375
84.628,46.5387
84.632,46.658
84.636,46.7618
84.64,46.7467
84.644,46.7153
84.648,46.6514
84.652,46.5412
84.656,46.1874
84.66,45.8395
84.664,45.4966
84.668,45.158
84.672,44.8416
84.676,44.5441
84.68,44.2906
84.684,44.056
84.688,43.9118
84.692,43.8538
84.696,43.9
84.7,44.2431
84.704,44.6299
84.708,45.0655
84.712,45.5367
84.716,45.7928
84.72,46.0648
84.724,46.331
84.728,46.5416
84.732,47.09
84.736,47.4883
